Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry,currentPrice,adr_pct_20_days,volume_dollars_1day,price_growth_one_month,move_higher_3_months_percent,avg_volume_10_days,volume_cal,is_10_below_20_mv_10_days,is_higher_low_5_days
COCH,Envoy Medical Inc. Class A Common Stock,$5.86,-1.74,-22.895%,114562895.0,United States,2021.0,248177,Finance,Blank Checks,4.55,45.34123894815192,390.59999334812164,1.296296222710318,102.22223069932726,371230.0,664944.0,0.0,0.0
RUM,Rumble Inc. Class A Common Stock,$8.48,0.58,7.342%,3273747731.0,United States,2021.0,15839191,Technology,Computer Software: Prepackaged Software,7.63,8.408287842296257,1152939.7185206413,1.2868420862755285,57.971019357417,4805210.0,1734289.0,0.0,0.0
NTRP,NextTrip Inc. Common Stock,$4.41,4.41,,4129656.0,United States,,222276,,,4.28,16.604185215703772,667.95001745224,1.280701830703395,47.5862092779025,175600.0,27731.0,0.0,0.0
ORGS,Orgenesis Inc. Common Stock,$0.8924,0.0324,3.767%,28447091.0,United States,,35928,Health Care,Biotechnology: Pharmaceutical Preparations,0.88,13.384456998144522,371.19999170303345,1.2799999713897705,95.55555967637062,71100.0,40825.0,0.0,0.0
CXAI,CXApp Inc. Class A Common Stock,$3.24,1.21,59.606%,49424220.0,United States,2021.0,24719041,Technology,EDP Services,2.57,29.508554608169568,78785.5797277689,1.277777722588294,99.22480691790933,4773210.0,1801286.0,0.0,0.0
LTRY,Lottery.com Inc. Common Stock,$2.58,-0.06,-2.273%,,United States,2023.0,3793,Technology,Computer Software: Prepackaged Software,2.33,8.52063018457474,2616.5899143218994,1.2732239721667813,77.86259736487399,14940.0,9136.0,0.0,0.0
EDUC,Educational Development Corporation Common Stock,$2.07,0.31,17.614%,17742152.0,United States,,259896,Consumer Discretionary,Consumer Specialties,1.9699,10.308885536750134,574.4800095558167,1.2647058900871078,109.57447166030579,57760.0,25431.0,0.0,0.0
ABEO,Abeona Therapeutics Inc. Common Stock,$8.23,0.05,0.611%,203884399.0,United States,,251751,Health Care,Biotechnology: Pharmaceutical Preparations,7.57,9.713181675936333,7802.8798828125,1.2636815790569322,60.0422862819394,513530.0,830231.0,0.0,1.0
ROOT,Root Inc. Class A Common Stock,$46.77,3.06,7.001%,682842000.0,United States,2020.0,440858,Finance,Property-Casualty Insurers,46.54,20.715621031520335,10004.639874458313,1.2631579155928199,344.93308552388953,832370.0,1744631.0,0.0,1.0
WHLRP,Wheeler Real Estate Investment Trust Inc. Class B Preferred Stock,$1.58,0.16,11.268%,107477474.0,United States,,8474,Real Estate,Real Estate Investment Trusts,1.89,6.296655223875236,50.399999141693115,1.2612612235276177,38.66470555874739,5650.0,4814.0,1.0,1.0
CMPX,Compass Therapeutics Inc. Common Stock,$2.19,0.12,5.797%,279195054.0,United States,,497123,Health Care,Biotechnology: Pharmaceutical Preparations,2.14,9.89850090099833,17961.150590658188,1.2608696328219047,34.59119874085003,402740.0,617995.0,0.0,0.0
PACK,Ranpak Holdings Corp Class A Common Stock,$6.86,0.23,3.469%,566672145.0,United States,2018.0,2429744,Consumer Discretionary,Containers/Packaging,7.46,8.516042080678798,29774.149414539337,1.2597402661742239,39.17910172244075,1955450.0,725799.0,0.0,1.0
ELEV,Elevation Oncology Inc. Common stock,$4.17,0.09,2.206%,202875150.0,United States,2021.0,329127,Health Care,Biotechnology: Pharmaceutical Preparations,4.4,14.122477137731115,97380.2376947403,1.2533333036634657,856.5217425106603,1164010.0,473178.0,0.0,1.0
DAVE,Dave Inc. Class A Common Stock,$33.78,-1.36,-3.87%,413431731.0,United States,,108351,Technology,Retail: Computer Software & Peripheral Equipment,33.2,14.06236994085659,15793.200244903564,1.250847456805222,286.04650337545246,138450.0,85415.0,0.0,1.0
ISPOW,Inspirato Incorporated Warrant,$0.0185,0.0031,20.13%,0.0,United States,2021.0,5123,Finance,Blank Checks,0.016,12.821427898578008,1.699999962002039,1.2499999126885128,100.0,3610.0,2539.0,0.0,0.0
AXTI,AXT Inc Common Stock,$4.73,0.23,5.111%,206437600.0,United States,1998.0,758813,Technology,Semiconductors,4.83,14.111357094320255,8126.519834518433,1.2488888634575739,108.18965787446749,954640.0,580232.0,0.0,1.0
SYRE,Spyre Therapeutics Inc. Common Stock,$44.51,2.19,5.175%,1609078384.0,United States,2016.0,295269,Health Care,Biotechnology: Pharmaceutical Preparations,38.39,11.325790138281032,151086.9653263092,1.2485043595161778,146.8810219855965,685670.0,957323.0,0.0,0.0
TTNP,Titan Pharmaceuticals Inc. Common Stock,$7.39,-0.60,-7.509%,5775307.0,United States,,670,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),7.34,5.912460402162578,733.6000213623047,1.2476190839494978,41.153854265721186,11450.0,9773.0,1.0,0.0
STRC,Sarcos Technology and Robotics Corporation Common Stock,$1.49,0.01,0.676%,38591000.0,United States,,319557,Industrials,Wholesale Distributors,1.825,35.58389725231819,479.9200020432472,1.2444444827091556,193.88084887381294,1346080.0,5305048.0,0.0,0.0
TCRT,Alaunos Therapeutics Inc. Common Stock,$1.63,-0.02,-1.212%,26148141.0,United States,,25551,Health Care,Biotechnology: Pharmaceutical Preparations,1.8,13.225357153409533,2140.573552343845,1.2420382054370824,139.9999936421712,62230.0,51619.0,0.0,1.0
BBAI,BigBear.ai Inc. Common Stock,$2.46,0.13,5.579%,385766915.0,United States,2021.0,39317232,Technology,EDP Services,2.2,16.58157929647295,65900.25161147118,1.2420382054370824,31.736533186760628,28016750.0,13908873.0,0.0,0.0
JANX,Janux Therapeutics Inc. Common Stock,$39.92,1.09,2.807%,2062269595.0,United States,2021.0,308679,Health Care,Biotechnology: Pharmaceutical Preparations,38.63,17.548253953504833,6713.699893951416,1.2400513343666641,305.3515440768167,543280.0,1026583.0,0.0,0.0
GMGI,Golden Matrix Group Inc. Common Stock,$2.93,0.00,0.00%,106222556.0,United States,,14681,Technology,Computer Software: Prepackaged Software,3.4,6.360751452895386,5905.799889564514,1.237864088906522,49.77974114253965,30960.0,39570.0,1.0,1.0
GXAI,Gaxos.ai Inc. Common Stock,$8.04,2.72,51.128%,7946479.0,United States,2023.0,43476950,Technology,Computer Software: Prepackaged Software,6.8,34.16103112748756,1534.4719878101348,1.2320442922897712,73.29256237935907,4651568.0,115647.0,0.0,0.0
AAME,Atlantic American Corporation Common Stock,$2.79,0.03,1.087%,56922384.0,United States,,11954,Finance,Life Insurance,2.795,6.019916278901105,124.00000095367432,1.227722793312099,39.99999761581421,5280.0,1482.0,0.0,0.0
