Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry,currentPrice,adr_pct_20_days,volume_dollars_1day,price_growth_one_month,move_higher_3_months_percent,avg_volume_10_days,volume_cal
WHLRP,Wheeler Real Estate Investment Trust Inc. Class B Preferred Stock,$1.58,0.16,11.268%,107477474.0,United States,,8474,Real Estate,Real Estate Investment Trusts,1.75,6.071303323084765,8.27999997138977,1.2432432229251273,34.469689820150215,5260.0,1200.0
ROOT,Root Inc. Class A Common Stock,$46.77,3.06,7.001%,682842000.0,United States,2020.0,440858,Finance,Property-Casualty Insurers,59.13,20.06427474253758,8411.039855957031,1.2340720368879123,386.13204646085177,827410.0,787054.0
STRM,Streamline Health Solutions Inc. Common Stock,$0.491,0.031,6.739%,28885265.0,United States,,18925,Technology,EDP Services,0.6251,13.885000542738313,337.0599957704544,1.2258064268034778,85.9687496565748,43050.0,66054.0
CELU,Celularity Inc. Class A Common Stock,$5.79,-0.105,-1.781%,126122765.0,United States,2019.0,46067,Health Care,Biotechnology: Pharmaceutical Preparations,5.6,14.655711819968564,14013.510272741318,1.2249999751647322,180.05318509784956,150220.0,119274.0
STRC,Sarcos Technology and Robotics Corporation Common Stock,$1.49,0.01,0.676%,38591000.0,United States,,319557,Industrials,Wholesale Distributors,1.3,35.58389725231819,759.8289986848831,1.2244444747618695,174.26470439997098,934490.0,2958575.0
CCLD,CareCloud Inc. Common Stock,$1.32,0.05,3.937%,20952518.0,United States,2014.0,45541,Technology,Computer Software: Prepackaged Software,1.245,7.320337792743836,242.8799991607666,1.221238938986681,51.182923240047465,48290.0,4672.0
ARMP,Armata Pharmaceuticals Inc. Common Stock,$3.45,-0.20,-5.479%,124705680.0,United States,,7918,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),3.44,9.515678104299807,425.10001039505005,1.2149532862992654,62.39316631194261,10900.0,10515.0
SEZL,Sezzle Inc. Common Stock,$58.35,-0.54,-0.917%,328695586.0,United States,,42407,Finance,Diversified Financial Services,59.19,15.740013132356756,43089.34071350098,1.2121013086255688,228.89474567614104,49740.0,24642.0
TNYA,Tenaya Therapeutics Inc. Common Stock,$5.41,-0.14,-2.523%,368480613.0,United States,2021.0,430108,Health Care, Medicinal Chemicals and Botanical Products ,4.82,9.99449167643136,35515.589292526245,1.2120252593914849,81.1023611699857,828420.0,567388.0
AVTE,Aerovate Therapeutics Inc. Common Stock,$26.98,2.84,11.765%,746506571.0,United States,2021.0,104171,Health Care,Biotechnology: Pharmaceutical Preparations,26.39,10.510983871953595,7621.520172119141,1.210872206386519,38.4486215738747,123940.0,53712.0
CMPX,Compass Therapeutics Inc. Common Stock,$2.19,0.12,5.797%,279195054.0,United States,,497123,Health Care,Biotechnology: Pharmaceutical Preparations,2.25,9.732685586644507,5693.43994140625,1.2086956647934222,36.250002142041886,355090.0,104252.0
KORE,KORE Group Holdings Inc. Common Stock,$0.72,-0.06,-7.692%,62431619.0,United States,,107591,Consumer Discretionary,Telecommunications Equipment,0.838,14.573612784198776,476.28000926971436,1.2054120429385105,63.56877611719381,77310.0,11658.0
SIGA,SIGA Technologies Inc. Common Stock,$6.45,1.13,21.241%,458540923.0,United States,,4969397,Health Care,Biotechnology: Pharmaceutical Preparations,7.95,5.400711856377294,13640.6703042984,1.2042253142759665,45.4545392728939,1411240.0,807260.0
WORX,SCWorx Corp. Common Stock,$1.76,-0.29,-14.146%,2131422.0,United States,2016.0,258939,Consumer Discretionary,Services-Misc. Amusement & Recreation,1.88,20.962933433862887,28.770000100135803,1.2017544052277247,98.20359448139496,1050440.0,73453183.0
PACK,Ranpak Holdings Corp Class A Common Stock,$6.86,0.23,3.469%,566672145.0,United States,2018.0,2429744,Consumer Discretionary,Containers/Packaging,7.36,8.494984453639344,16204.150469303131,1.197402661742239,40.431524214918475,1938090.0,431001.0
DNMR,Danimer Scientific Inc. Common Stock,$1.57,-0.09,-5.422%,160195369.0,United States,2020.0,492272,Industrials,Major Chemicals,1.1,14.035352069429097,17395.220498144627,1.1933333200878573,32.241735012402756,1018530.0,650482.0
EFTR,eFFECTOR Therapeutics Inc. Common Stock,$10.88,-0.27,-2.422%,32596480.0,United States,2021.0,127487,Health Care,Biotechnology: Pharmaceutical Preparations,11.87,12.152701162701618,10365.119888305664,1.1932584652529283,35.13513513513514,210880.0,44278.0
MEDS,TRxADE HEALTH Inc. Common Stock,$25.94,-7.96,-23.481%,31257908.0,United States,,247540,Health Care,Other Pharmaceuticals,19.5,24.102326769884066,334.4000072479248,1.1924119314734616,185.2291955497896,1192150.0,72545.0
DGLY,Digital Ally Inc. Common Stock,$2.52,-0.10,-3.817%,7057895.0,United States,,13969,Technology,Radio And Television Broadcasting And Communications Equipment,2.67,7.931932172015155,61.18999695777893,1.1920903490582735,31.527099208086216,24970.0,699.0
APEI,American Public Education Inc. Common Stock,$12.80,0.53,4.319%,224068416.0,United States,2007.0,121124,Real Estate,Other Consumer Services,12.36,8.646164440888215,20729.27986907959,1.190147820464179,46.84684452477647,278210.0,48575.0
MNPR,Monopar Therapeutics Inc. Common Stock,$0.7521,-0.0739,-8.947%,11181019.0,United States,2019.0,304793,Health Care,Biotechnology: Pharmaceutical Preparations,0.67,26.2390022675282,334.33701238036156,1.1877023652532295,124.44444334065477,459570.0,827496.0
